sea bay;river;catch year;PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14
shelikhova bay;gizhiga;2007;0,054449;0,011045;-0,014165;0,021534;0,010829;-0,037228;0,007578;0,031287;-0,022710;0,024859;-0,012047;-0,030065;0,006267;0,000788
shelikhova bay;gizhiga;2007;0,008530;-0,010181;0,000077;0,004879;0,009650;0,023151;-0,008432;0,012642;-0,008634;-0,004221;-0,001167;-0,013285;0,015128;0,016435
shelikhova bay;gizhiga;2007;0,071723;0,022676;0,021058;-0,022199;-0,015589;-0,007071;-0,018506;-0,026634;0,044237;0,001440;-0,029227;0,002150;0,007442;-0,017154
shelikhova bay;gizhiga;2007;0,012293;0,017166;0,009740;0,008948;-0,001151;0,017257;-0,016537;-0,025347;-0,012709;-0,001212;-0,001044;-0,003315;0,009353;-0,004815
taui bay;kulkuty;2009;0,063998;0,032870;0,037880;-0,000982;-0,015721;-0,011324;-0,005087;-0,006905;-0,015167;-0,004457;-0,003433;-0,020414;-0,005747;-0,001119
taui bay;kulkuty;2009;-0,033161;-0,001756;0,007453;0,002622;0,041517;0,012100;0,001783;-0,009296;-0,047470;0,009015;0,007466;-0,015225;-0,018403;-0,023973
taui bay;kulkuty;2009;0,058016;0,015903;0,037214;0,010017;-0,004591;0,019308;-0,023793;-0,014040;0,003129;-0,003793;0,007673;0,015381;0,000323;-0,002699
taui bay;kulkuty;2009;-0,011907;0,000692;0,005456;0,012867;-0,012059;0,007269;-0,010074;-0,044356;-0,010140;0,013121;0,000770;-0,005638;-0,010313;-0,000830
taui bay;kulkuty;2009;0,011443;-0,057029;0,027872;-0,000447;0,002757;-0,009491;-0,028242;-0,032446;-0,019365;0,002856;-0,002799;-0,013606;0,001908;0,012262
taui bay;kulkuty;2009;0,008760;-0,013092;-0,003018;-0,007173;0,014154;-0,015234;-0,004273;0,011106;0,024480;-0,004119;0,002704;0,007730;-0,000397;-0,000238
taui bay;kulkuty;2009;0,069588;-0,006744;-0,014090;0,014649;-0,024390;-0,012370;0,024012;0,005509;-0,009797;-0,026782;-0,005948;-0,016395;0,019962;-0,000694
taui bay;kulkuty;2009;0,043032;0,030585;-0,008272;0,002497;0,006301;-0,014960;-0,009324;-0,010805;-0,019714;0,006487;0,004412;-0,006055;-0,004376;0,006784
taui bay;kulkuty;2009;0,039805;0,009135;-0,019842;-0,006098;0,010975;0,021738;0,019039;0,002146;-0,014361;-0,001590;0,007776;0,010630;-0,001111;0,001241
taui bay;kulkuty;2009;-0,019628;0,039408;0,023731;0,050227;0,012441;-0,007086;0,007267;0,034477;-0,042335;0,000866;-0,038445;0,006827;-0,014094;0,004896
taui bay;kulkuty;2009;0,061987;0,041483;-0,028768;-0,018414;0,022683;-0,024767;0,008074;-0,022427;-0,015437;-0,037898;0,015999;0,007281;-0,002482;-0,012777
taui bay;kulkuty;2009;-0,006052;-0,031528;-0,048230;-0,025854;0,006490;-0,024539;-0,016568;-0,011772;-0,014125;0,007161;0,014545;-0,002942;0,006159;-0,006475
taui bay;kulkuty;2009;0,053628;0,036405;-0,073584;-0,000176;0,047741;-0,053803;-0,018986;0,029080;-0,004536;0,025880;0,007297;-0,026771;0,003538;-0,007811
taui bay;kulkuty;2009;-0,010909;-0,032273;-0,043211;-0,015117;-0,015801;0,002775;0,022631;0,009440;0,025194;0,026716;0,020811;-0,006734;-0,016506;0,016080
taui bay;kulkuty;2009;0,040986;-0,045689;-0,014309;0,017751;-0,013412;-0,048458;0,026742;0,011161;-0,000764;-0,047396;-0,015579;0,000018;-0,005600;-0,001551
taui bay;kulkuty;2009;-0,003584;-0,009504;0,017755;-0,046136;-0,009048;0,010437;-0,005196;-0,009214;-0,014037;-0,006095;-0,001873;0,015409;-0,015201;0,010380
taui bay;kulkuty;2009;0,037463;0,007934;0,002140;0,002953;-0,009143;0,027408;-0,010690;-0,002985;-0,021062;0,000203;-0,011034;0,006537;-0,014319;-0,017824
taui bay;kulkuty;2009;0,049872;0,045448;-0,020104;0,001586;-0,018271;0,020084;-0,003027;-0,027042;0,006816;-0,013885;-0,015163;0,001468;-0,009211;-0,001467
taui bay;kulkuty;2009;-0,000436;0,095835;-0,025802;-0,019901;-0,026696;-0,000838;0,010324;0,005960;0,004714;-0,019237;-0,013757;-0,019856;-0,033160;0,020155
taui bay;kulkuty;2009;0,029001;-0,008829;0,001685;-0,000490;-0,025400;-0,028572;0,040244;-0,006557;-0,012906;-0,011558;0,014946;-0,004227;0,001963;0,008318
taui bay;kulkuty;2009;0,014132;-0,070922;-0,000553;0,011928;-0,020580;-0,013086;0,023751;0,030519;-0,000889;0,001626;0,002799;-0,000559;0,010079;-0,009819
